--bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
1, 1.04481066247444132067, -78.83713888478919784575, 0.00000000000000000000
2, 1.05956926758835634494, -65.53269663490424079555, 0.00000000000000000000
3, 1.05917953351698157505, -68.02089562965254287974, 0.00000000000000000000
4, 1.05967749745777095605, -69.85277621243206169765, 0.00000000000000000000
5, 1.04323485789453407335, -78.82330341709270271622, 0.00000000000000000000
6, 0.98880319224096346886, -161.21917206127491795087, 0.00000000000000000000
7, 1.04939578157645208023, -76.82078950737985678643, 0.00000000000000000000
8, 1.04560935276969280139, -78.49701955123209984322, 0.00000000000000000000
9, 1.05076343238433045357, -74.17863676672178030458, 0.00000000000000000000
10, 1.05084255601124731960, -77.29895280635827248261, 0.00000000000000000000
11, 1.05962103556860243181, -72.52496244471934971898, 0.00000000000000000000
12, 1.04973165222925723938, -73.37995058219601673954, 0.00000000000000000000
13, 1.04327976879314432423, -78.80912490528905323117, 0.00000000000000000000
14, 1.04581849605554966232, -75.43992107619789067030, 0.00000000000000000000
15, 1.05503685069646668815, -72.02598899855844649665, 0.00000000000000000000
16, 1.04334077375922551489, -75.59544006821118955486, 0.00000000000000000000
17, 1.04772921111001293681, -74.34418995572529809124, 0.00000000000000000000
18, 1.05999160100763334391, -60.38248342099321064325, 0.00000000000000000000
19, 1.04750117953551336036, -77.02088444233103814440, 0.00000000000000000000
20, 1.04474451109507437963, -78.85766065753648490499, 0.00000000000000000000
21, 1.05996975862823172854, -71.21178441558684824031, 0.00000000000000000000
22, 1.04738263074029069877, -72.60634848072308500377, 0.00000000000000000000
23, 1.05603076774770854307, -69.12752490463513765917, 0.00000000000000000000
24, 1.04774904662626777707, -74.06391431634943955942, 0.00000000000000000000
25, 1.04058260869100127621, -69.28321767438508516079, 0.00000000000000000000
26, 1.04610206236434799543, -67.00715739281646676773, 0.00000000000000000000
27, 1.03513431784287002202, -67.73825070617353105717, 0.00000000000000000000
28, 1.05518894427394283042, -66.15410956689893851035, 0.00000000000000000000
29, 1.04670856217180130443, -67.69094672062990980521, 0.00000000000000000000
30, 1.04394788870161803196, -68.08355587938343944643, 0.00000000000000000000
31, 1.03613409704594872096, -71.85473207504534798318, 0.00000000000000000000
32, 1.05999918563942840954, -61.94399030811371886784, 0.00000000000000000000
33, 1.05100326316294401252, -64.34755472357228711644, 0.00000000000000000000
34, 1.05926848249356275744, -64.11660015336377682615, 0.00000000000000000000
35, 1.05755132228423587293, -56.10629510026564048530, 0.00000000000000000000
36, 1.03055449036403556917, -76.34929927924700621134, 0.00000000000000000000
37, 1.05746899327929555490, -56.06769574354419916062, 0.00000000000000000000
38, 1.02593241677372049026, -76.66459050900391503092, 0.00000000000000000000
39, 1.04855217483692642055, -16.04864627588121095414, 0.00000000000000000000
40, 0.99656609481494640157, -65.04274627282858034505, 0.00000000000000000000
41, 1.05515742926900135679, -52.61245561592118491490, 0.00000000000000000000
42, 1.00625315059695052966, -80.35831296501702070145, 0.00000000000000000000
43, 1.05226033696899201608, -64.02794369762277426616, 0.00000000000000000000
44, 1.05253806834935836889, -63.67899904474561623147, 0.00000000000000000000
45, 1.05870842647567853234, -11.71740866688555726682, 0.00000000000000000000
46, 1.05999484346712624649, -61.09034932310623844387, 0.00000000000000000000
47, 1.00596695107450928575, -65.63798667950150900197, 0.00000000000000000000
48, 1.04698640865791703369, -63.92861981213303579352, 0.00000000000000000000
49, 1.05739594796234537277, -56.35358006239112427238, 0.00000000000000000000
50, 1.03719590799757832578, -58.50938572201822296392, 0.00000000000000000000
51, 1.03040451367212315681, -76.44236524512342612070, 0.00000000000000000000
52, 1.04657624370655510937, -63.95847047870184809426, 0.00000000000000000000
53, 1.00861773721704972573, -80.04613183967502720861, 0.00000000000000000000
54, 1.05358684238795352606, -59.79629557677534990034, 0.00000000000000000000
55, 1.05355736923285303597, -65.12675560132221619369, 0.00000000000000000000
56, 1.05666459443035298804, -56.22947440669234708821, 0.00000000000000000000
57, 1.04184496367918244530, -67.51808107220840327045, 0.00000000000000000000
58, 1.05664332928389748112, -57.05510019868442128654, 0.00000000000000000000
59, 1.05660186017836510430, -59.49464640633542700243, 0.00000000000000000000
60, 1.05709110192972555176, -56.96300180056590534150, 0.00000000000000000000
61, 1.05853382997480549577, -65.04436012580831061314, 0.00000000000000000000
62, 0.97441980381450787885, -82.88323092563393856835, 0.00000000000000000000
63, 1.00490845326670141802, -77.83877169154352770875, 0.00000000000000000000
64, 0.96734370144079584453, -83.92726957228960316115, 0.00000000000000000000
65, 0.96983750802974633132, -83.87693688774101019590, 0.00000000000000000000
66, 0.99868709136034450324, -76.38106116008296453401, 0.00000000000000000000
67, 0.99290965359151062142, -74.10222910411599173131, 0.00000000000000000000
68, 0.99497077849563753116, -79.48443818424600237904, 0.00000000000000000000
69, 1.05935684050533596157, -69.87886938387997304289, 0.00000000000000000000
70, 1.05687766720072517934, -64.59081499337062837185, 0.00000000000000000000
71, 1.05253461548476456855, -67.86538496337158221650, 0.00000000000000000000
72, 1.04820731578833603592, -64.98757386565198146400, 0.00000000000000000000
73, 1.05234011254918513600, -67.87406064185918808107, 0.00000000000000000000
74, 1.05431370468610019486, -69.78816052842466888251, 0.00000000000000000000
