--contingency
--label
'Percentile_50_SD_2'
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
1, -0.0000000000, -0.5663055000, 0.0000000000, 0.9993088894, -0.0000000000, -0.5663055000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
2, NaN, -0.1219259000, 0.0000000000, 1.0043808323, -0.0000000000, -0.1219259000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
3, NaN, -0.0000000000, 0.0000000000, 1.0011144924, -0.0000000000, 0.0000000000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
4, -0.0000000000, -0.2279708000, 0.0000000000, 1.0015330663, -0.0000000000, -0.2279708000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
5, -0.0000000000, -1.1597270000, 0.0000000000, 0.9997122688, -0.0000000000, -1.1597270000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
6, 0.0481677566, -0.0000000000, 0.0000000000, 1.0085671194, -0.0000000000, 0.0481677566, NaN, -0.0000000099, -0.0000000099, 0.0000000000
7, -0.0000000000, -1.3011950000, 0.0000000000, 0.9979164763, -0.0000000000, -1.3011950000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
8, -0.0000000000, -0.6576244000, 0.0000000000, 0.9994229972, -0.0000000000, -0.6576244000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
9, NaN, -0.0812221300, 0.0000000000, 1.0006343826, -0.0000000000, -0.0812221300, NaN, -0.0000000099, -0.0000000099, 0.0000000000
10, -0.0000000000, -0.2492802000, 0.0000000000, 1.0028009770, -0.0000000000, -0.2492802000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
11, NaN, -0.0628923400, 0.0000000000, 1.0029230637, -0.0000000000, -0.0628923400, NaN, -0.0000000099, -0.0000000099, 0.0000000000
12, NaN, -0.0586119000, 0.0000000000, 0.9985300153, -0.0000000000, -0.0586119000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
13, -0.0000000000, -0.3512038000, 0.0000000000, 0.9997828786, -0.0000000000, -0.3512038000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
14, -0.0000000000, -0.3852843000, 0.0000000000, 1.0003071713, -0.0000000000, -0.3852843000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
15, -0.0000000000, -0.2496815000, 0.0000000000, 1.0015055838, -0.0000000000, -0.2496815000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
16, 0.0396288631, -0.2252322000, 0.0000000000, 0.9968689466, -0.0000000000, -0.1856033369, NaN, -0.0000000099, -0.0000000099, 0.0000000000
17, 0.0142912806, -0.4649276000, 0.0000000000, 0.9991565453, -0.0000000000, -0.4506363194, NaN, -0.0000000099, -0.0000000099, 0.0000000000
18, -0.0000000000, -0.0000000000, 0.0000000000, 1.0017789930, -0.0000000000, 0.0000000000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
19, 0.0252178414, -0.4720006000, 0.0000000000, 0.9984427031, -0.0000000000, -0.4467827586, NaN, -0.0000000099, -0.0000000099, 0.0000000000
