--contingency
label
'Percentile_50_SD_2'
--line section
From, To, p_from(MW), p_to(MW)
1, 2410, -56.6305500000, 56.6321388610
2410, 20, 8.0397648910, -8.0391727367
2410, 2411, -64.6719037520, 64.8243419801
2411, 1618, 40.6039110139, -40.6009700000
2411, 1617, -105.4282529940, 105.5045991392
1617, 2412, -73.7361533138, 73.7998638412
2359, 2360, 4.6943339037, -4.6373700000
2031, 2426, -25.3574937044, 25.3685162376
6724, 5593, -89.1715635872, 89.2095866812
5593, 2413, -70.1900541963, 70.4043320744
2426, 6724, -48.2621343130, 48.2907444276
2414, 8021, -37.8322977993, 37.9192486651
2415, 2446, -141.2749151382, 141.8312167365
2034, 2417, -123.2129479106, 123.2404081826
2436, 2416, -62.7330749187, 62.9480702513
2417, 2436, -62.6227022536, 62.6350769086
2417, 2418, -60.6177059291, 60.8168804758
1867, 2034, -4.5786137214, 4.5801764674
1866, 2440, 7.1202735710, -7.1176976716
2440, 2419, 32.9936517035, -32.8577779002
2420, 1866, 9.5695089870, -9.5669087659
2421, 5705, -2.5988707851, 2.6010729394
5705, 2419, 56.1356536603, -56.0854365273
2422, 2423, -8.4902391792, 8.5014479920
2423, 2424, -8.5014479920, 8.5024380367
2424, 2425, -8.5024380367, 8.5046939311
2425, 2032, 29.3093024133, -29.2706384475
2425, 2414, -37.8139963443, 37.8322977993
2426, 2362, 22.8936180754, -22.8412400000
2427, 6726, -20.7642737426, 20.7662209925
6726, 2428, 13.9781150701, -13.9564596340
2428, 2429, 13.9564596340, -13.9532800475
2429, 2430, 13.9532800475, -13.9512172562
2430, 2033, -19.1173520284, 19.1398909652
2031, 2431, 2.8054750817, -2.8040418505
2431, 2432, 2.8040418505, -2.8034980817
2432, 2033, 2.8034980817, -2.8022477839
1867, 2034, -5.0671422965, 5.0686878626
1867, 2433, -15.3024037095, 15.3204512630
2434, 2435, -15.2296704074, 15.2339371375
2433, 2438, -15.3204512630, 15.3228399780
2438, 2436, -0.0977813307, 0.0979980101
2437, 2438, 15.2288547913, -15.2250586473
2434, 2437, 15.2296704074, -15.2288547913
2435, 2439, -15.2339371375, 15.2352403343
2440, 2420, -25.8759540318, 25.8898742572
2420, 2441, -35.4593832442, 35.4981301992
2035, 2421, 19.4495901044, -19.4365611492
2441, 2442, -35.4981301992, 35.5009575565
2442, 2443, -35.5009575565, 35.5123394857
2443, 2444, -35.5123394857, 35.5151946030
2444, 2445, -35.5151946030, 35.5431082900
2445, 2446, -35.5431082900, 35.5819640977
2446, 2034, -44.8444256399, 44.8499102834
2446, 2034, -42.8062779271, 42.8115132971
2447, 8021, -157.3704726073, 157.4830354757
2418, 8021, -60.8168804758, 60.8532088086
2416, 8021, -43.3357264018, 43.3500248752
2363, 2364, -7.8867309173, 7.8987748495
2363, 2448, -9.9087090827, 9.9250208219
2364, 2448, -24.9037448495, 24.9113510882
