--contingency
--label
'Percentile_50_SD_2'
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
1, 0.0000000000, -0.5663055000, 0.0000000000, 0.9992132878, -0.0000000000, -0.5663055000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
2, NaN, -0.1219259000, 0.0000000000, 1.0043913701, -0.0000000000, -0.1219259000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
3, NaN, -0.0000000000, 0.0000000000, 1.0011568181, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
4, 0.0000000000, -0.2279708000, 0.0000000000, 1.0012615608, -0.0000000000, -0.2279708000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
5, 0.0000000000, -1.1597270000, 0.0000000000, 0.9996575470, -0.0000000000, -1.1597270000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
6, 0.0481653431, -0.0000000000, 0.0000000000, 1.0085006530, -0.0000000000, 0.0481653431, NaN, -0.0000000090, -0.0000000090, 0.0000000000
7, 0.0000000000, -1.3011950000, 0.0000000000, 0.9977743456, -0.0000000000, -1.3011950000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
8, 0.0000000000, -0.6576244000, 0.0000000000, 0.9993205846, -0.0000000000, -0.6576244000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
9, NaN, -0.0812221300, 0.0000000000, 1.0005047979, -0.0000000000, -0.0812221300, NaN, -0.0000000090, -0.0000000090, 0.0000000000
10, 0.0000000000, -0.2492802000, 0.0000000000, 1.0026659929, -0.0000000000, -0.2492802000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
11, NaN, -0.0628923400, 0.0000000000, 1.0027223136, -0.0000000000, -0.0628923400, NaN, -0.0000000090, -0.0000000090, 0.0000000000
12, NaN, -0.0586119000, 0.0000000000, 0.9986118356, -0.0000000000, -0.0586119000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
13, 0.0000000000, -0.3512038000, 0.0000000000, 0.9997280949, -0.0000000000, -0.3512038000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
14, 0.0000000000, -0.3852843000, 0.0000000000, 1.0003033653, -0.0000000000, -0.3852843000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
15, 0.0000000000, -0.2496815000, 0.0000000000, 1.0016046491, -0.0000000000, -0.2496815000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
16, 0.0396281157, -0.2252322000, 0.0000000000, 0.9968834250, -0.0000000000, -0.1856040843, NaN, -0.0000000090, -0.0000000090, 0.0000000000
17, 0.0142910851, -0.4649276000, 0.0000000000, 0.9992418656, -0.0000000000, -0.4506365149, NaN, -0.0000000090, -0.0000000090, 0.0000000000
18, 0.0000000000, -0.0000000000, 0.0000000000, 1.0020091907, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
19, 0.0252173090, -0.4720006000, 0.0000000000, 0.9983236180, -0.0000000000, -0.4467832910, NaN, -0.0000000090, -0.0000000090, 0.0000000000
20, 0.0000000000, -0.7268817000, 0.0000000000, 0.9991260142, -0.0000000000, -0.7268817000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
21, NaN, -0.1279008000, 0.0000000000, 1.0073065901, -0.0000000000, -0.1279008000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
22, NaN, -0.0830597000, 0.0000000000, 0.9963006211, -0.0000000000, -0.0830597000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
23, NaN, -0.0000000000, 0.0000000000, 0.9990186362, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
24, NaN, -0.0813624300, 0.0000000000, 0.9984320973, -0.0000000000, -0.0813624300, NaN, -0.0000000090, -0.0000000090, 0.0000000000
25, NaN, -0.0442639800, 0.0000000000, 0.9979123584, -0.0000000000, -0.0442639800, NaN, -0.0000000090, -0.0000000090, 0.0000000000
26, NaN, -0.0537260900, 0.0000000000, 0.9982985962, -0.0000000000, -0.0537260900, NaN, -0.0000000090, -0.0000000090, 0.0000000000
27, NaN, -0.0526240900, 0.0000000000, 0.9868463820, -0.0000000000, -0.0526240900, NaN, -0.0000000090, -0.0000000090, 0.0000000000
28, 0.0034307910, -0.0000000000, 0.0000000000, 1.0073800218, -0.0000000000, 0.0034307910, NaN, -0.0000000090, -0.0000000090, 0.0000000000
29, 0.0000000000, -0.0816231500, 0.0000000000, 0.9995785823, -0.0000000000, -0.0816231500, NaN, -0.0000000090, -0.0000000090, 0.0000000000
30, NaN, -0.0457603400, 0.0000000000, 0.9977488199, -0.0000000000, -0.0457603400, NaN, -0.0000000090, -0.0000000090, 0.0000000000
31, NaN, -0.0258341000, 0.0000000000, 1.0020143301, -0.0000000000, -0.0258341000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
32, 0.3136516762, -0.0000000000, 0.0000000000, 1.0022032296, -0.0000000000, 0.3136516762, NaN, -0.0000000090, -0.0000000090, 0.0000000000
33, NaN, -0.0494620900, 0.0000000000, 0.9970626743, -0.0000000000, -0.0494620900, NaN, -0.0000000090, -0.0000000090, 0.0000000000
34, NaN, -0.0000000000, 0.0000000000, 1.0073957974, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
35, NaN, -0.0000000000, 0.0000000000, 1.0075606104, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
36, NaN, -0.0824990000, 0.0000000000, 1.0019498042, -0.0000000000, -0.0824990000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
37, 0.0000000000, -0.1289639000, 0.0000000000, 1.0076982392, -0.0000000000, -0.1289639000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
38, NaN, -0.0262467600, 0.0000000000, 0.9981284372, -0.0000000000, -0.0262467600, NaN, -0.0000000090, -0.0000000090, 0.0000000000
39, NaN, -0.0598058200, 0.0000000000, 0.9990610667, -0.0000000000, -0.0598058200, NaN, -0.0000000090, -0.0000000090, 0.0000000000
40, NaN, -0.0000000000, 0.0000000000, 0.9870912085, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
41, NaN, -0.0350269800, 0.0000000000, 1.0030759103, -0.0000000000, -0.0350269800, NaN, -0.0000000090, -0.0000000090, 0.0000000000
42, NaN, -0.0498218500, 0.0000000000, 0.9771994496, -0.0000000000, -0.0498218500, NaN, -0.0000000090, -0.0000000090, 0.0000000000
43, 0.0457162316, -0.0000000000, 0.0000000000, 1.0005004348, -0.0000000000, 0.0457162316, NaN, -0.0000000090, -0.0000000090, 0.0000000000
44, NaN, -0.0842753900, 0.0000000000, 1.0001343999, -0.0000000000, -0.0842753900, NaN, -0.0000000090, -0.0000000090, 0.0000000000
45, NaN, -0.0000000000, 0.0000000000, 1.0023456545, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
46, 0.0006441113, -0.0000000000, 0.0000000000, 1.0075415839, -0.0000000000, 0.0006441113, NaN, -0.0000000090, -0.0000000090, 0.0000000000
47, NaN, -0.1422938000, 0.0000000000, 0.9932494675, -0.0000000000, -0.1422938000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
48, NaN, -0.1933269000, 0.0000000000, 0.9938021728, -0.0000000000, -0.1933269000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
49, 0.0334475669, -0.0000000000, 0.0000000000, 1.0068622664, -0.0000000000, 0.0334475669, NaN, -0.0000000090, -0.0000000090, 0.0000000000
50, NaN, -0.0000000000, 0.0000000000, 0.9890991679, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
51, 0.0439465585, -0.0000000000, 0.0000000000, 1.0028581622, -0.0000000000, 0.0439465585, NaN, -0.0000000090, -0.0000000090, 0.0000000000
52, NaN, -0.0209453200, 0.0000000000, 0.9933625857, -0.0000000000, -0.0209453200, NaN, -0.0000000090, -0.0000000090, 0.0000000000
53, NaN, -0.0463394500, 0.0000000000, 0.9796804096, -0.0000000000, -0.0463394500, NaN, -0.0000000090, -0.0000000090, 0.0000000000
54, NaN, -0.0000000000, 0.0000000000, 1.0004839150, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
55, NaN, -0.0317523200, 0.0000000000, 1.0020326034, -0.0000000000, -0.0317523200, NaN, -0.0000000090, -0.0000000090, 0.0000000000
56, NaN, -0.0827241700, 0.0000000000, 0.9998271272, -0.0000000000, -0.0827241700, NaN, -0.0000000090, -0.0000000090, 0.0000000000
57, NaN, -0.0000000000, 0.0000000000, 0.9909888921, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
58, NaN, -0.0000000000, 0.0000000000, 1.0006970991, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
59, NaN, -0.0000000000, 0.0000000000, 1.0010368765, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
60, 0.0353532745, -0.0000000000, 0.0000000000, 1.0022627153, -0.0000000000, 0.0353532745, NaN, -0.0000000090, -0.0000000090, 0.0000000000
61, NaN, -0.0000000000, 0.0000000000, 1.0072706737, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
62, NaN, -0.0000000000, 0.0000000000, 1.0063053417, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
63, 0.0000000000, -0.0759149800, 0.0000000000, 1.0164725598, -0.0000000000, -0.0759149800, NaN, -0.0000000090, -0.0000000090, 0.0000000000
64, NaN, -0.0669756000, 0.0000000000, 1.0066879392, -0.0000000000, -0.0669756000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
65, 0.0000000000, -0.0724963600, 0.0000000000, 1.0102825587, -0.0000000000, -0.0724963600, NaN, -0.0000000090, -0.0000000090, 0.0000000000
66, NaN, -0.0000000000, 0.0000000000, 1.0006469279, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
67, NaN, -0.0320898200, 0.0000000000, 0.9916998478, -0.0000000000, -0.0320898200, NaN, -0.0000000090, -0.0000000090, 0.0000000000
68, 0.0044010450, -0.0000000000, 0.0000000000, 1.0017145208, -0.0000000000, 0.0044010450, NaN, -0.0000000090, -0.0000000090, 0.0000000000
69, NaN, -0.1899603000, 0.0000000000, 1.0019472180, -0.0000000000, -0.1899603000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
70, NaN, -0.0244323100, 0.0000000000, 1.0034437764, -0.0000000000, -0.0244323100, NaN, -0.0000000090, -0.0000000090, 0.0000000000
71, 0.0189298623, -0.0000000000, 0.0000000000, 0.9985659098, -0.0000000000, 0.0189298623, NaN, -0.0000000090, -0.0000000090, 0.0000000000
72, NaN, -0.0245799200, 0.0000000000, 1.0015172427, -0.0000000000, -0.0245799200, NaN, -0.0000000090, -0.0000000090, 0.0000000000
73, NaN, -0.0000000000, 0.0000000000, 0.9982988898, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
74, 0.0000000000, -0.5834948000, 0.0000000000, 1.0041522965, -0.0000000000, -0.5834948000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
75, NaN, -0.0742455100, 0.0000000000, 1.0019787662, -0.0000000000, -0.0742455100, NaN, -0.0000000090, -0.0000000090, 0.0000000000
76, 0.0058841235, -0.0000000000, 0.0000000000, 1.0010972445, -0.0000000000, 0.0058841235, NaN, -0.0000000090, -0.0000000090, 0.0000000000
77, 0.0000000000, -0.2533561000, 0.0000000000, 1.0001097951, -0.0000000000, -0.2533561000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
78, NaN, -0.0395046200, 0.0000000000, 1.0006463857, -0.0000000000, -0.0395046200, NaN, -0.0000000090, -0.0000000090, 0.0000000000
79, NaN, -0.0000000000, 0.0000000000, 0.9976609530, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
80, NaN, -0.0613758100, 0.0000000000, 1.0017385371, -0.0000000000, -0.0613758100, NaN, -0.0000000090, -0.0000000090, 0.0000000000
81, NaN, -0.0396636000, 0.0000000000, 0.9813098889, -0.0000000000, -0.0396636000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
82, 0.0000000000, -0.5626587000, 0.0000000000, 0.9979744601, -0.0000000000, -0.5626587000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
