--base
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
1, 0.0000000000, -0.5663055000, 0.0000000000, 1.0448106618, -0.0000000000, -0.5663054999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
2, NaN, -0.1219259000, 0.0000000000, 1.0595692676, -0.0000000000, -0.1219258999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
3, NaN, -0.0000000000, 0.0000000000, 1.0591795332, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
4, 0.0000000000, -0.2279708000, 0.0000000000, 1.0596774950, -0.0000000000, -0.2279707999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
5, 0.0000000000, -1.1597270000, 0.0000000000, 1.0432348573, -0.0000000000, -1.1597269999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
6, 0.0489999928, -0.0000000000, 0.0000000000, 0.9888031922, -0.0000000000, 0.0489999930, NaN, -0.0000000089, -0.0000000091, 0.0000000000
7, 0.0000000000, -1.3011950000, 0.0000000000, 1.0493957808, -0.0000000000, -1.3011949999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
8, 0.0000000000, -0.6576244000, 0.0000000000, 1.0456093520, -0.0000000000, -0.6576243999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
9, NaN, -0.0812221300, 0.0000000000, 1.0507634319, -0.0000000000, -0.0812221299, NaN, -0.0000000090, -0.0000000091, 0.0000000000
10, 0.0000000000, -0.2492802000, 0.0000000000, 1.0508425549, -0.0000000000, -0.2492801999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
11, NaN, -0.0628923400, 0.0000000000, 1.0596210356, -0.0000000000, -0.0628923399, NaN, -0.0000000090, -0.0000000091, 0.0000000000
12, NaN, -0.0586119000, 0.0000000000, 1.0497316521, -0.0000000000, -0.0586118999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
13, 0.0000000000, -0.3512038000, 0.0000000000, 1.0432797682, -0.0000000000, -0.3512037999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
14, 0.0000000000, -0.3852843000, 0.0000000000, 1.0458184958, -0.0000000000, -0.3852842999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
