--contingency
--label
'Monument_wildfire_data_SD_2'
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
1, 0.0000000000, -0.5663055000, 0.0000000000, 0.9993966836, -0.0000000000, -0.5663055000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
2, NaN, -0.1219259000, 0.0000000000, 1.0043384693, -0.0000000000, -0.1219259000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
3, NaN, -0.0000000000, 0.0000000000, 1.0010785330, -0.0000000000, -0.0000000000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
4, 0.0000000000, -0.2279708000, 0.0000000000, 1.0014230940, -0.0000000000, -0.2279708000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
5, 0.0000000000, -1.1597270000, 0.0000000000, 0.9997836283, -0.0000000000, -1.1597270000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
6, 0.0481649032, -0.0000000000, 0.0000000000, 1.0084879232, -0.0000000000, 0.0481649032, NaN, -0.0000000099, -0.0000000099, 0.0000000000
7, 0.0000000000, -1.3011950000, 0.0000000000, 0.9978376926, -0.0000000000, -1.3011950000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
8, 0.0000000000, -0.6576244000, 0.0000000000, 0.9994983288, -0.0000000000, -0.6576244000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
9, NaN, -0.0812221300, 0.0000000000, 1.0006144805, -0.0000000000, -0.0812221300, NaN, -0.0000000099, -0.0000000099, 0.0000000000
10, 0.0000000000, -0.2492802000, 0.0000000000, 1.0028010504, -0.0000000000, -0.2492802000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
11, NaN, -0.0628923400, 0.0000000000, 1.0028568681, -0.0000000000, -0.0628923400, NaN, -0.0000000099, -0.0000000099, 0.0000000000
12, NaN, -0.0586119000, 0.0000000000, 0.9985212850, -0.0000000000, -0.0586119000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
13, 0.0000000000, -0.3512038000, 0.0000000000, 0.9998541415, -0.0000000000, -0.3512038000, NaN, -0.0000000099, -0.0000000099, 0.0000000000
