--contingency
label
'Monument_wildfire_data_SD_2'
--line section
From, To, p_from(MW), p_to(MW)
1, 2410, -56.6305500000, 56.6321406392
2410, 20, 7.9407260331, -7.9401484765
2410, 2411, -64.5728666723, 64.7249789639
2411, 1618, 40.6039210722, -40.6009700000
2411, 1617, -105.3289000361, 105.4052420729
1617, 2412, -73.6668930161, 73.7307153422
2359, 2360, 4.6943139644, -4.6373700000
2031, 2426, -31.3960940103, 31.4133232100
6724, 5593, -94.2638286207, 94.3066147524
5593, 2413, -68.1095005300, 68.3114408560
2426, 6724, -54.3071051826, 54.3437738875
2414, 8021, -25.3973435591, 25.4366184454
2415, 2446, -110.6410951335, 110.9786114478
2034, 2417, -108.6575268627, 108.6788249074
2436, 2416, -55.9392599217, 56.1098646643
2417, 2436, -54.6848382866, 54.6942440274
2417, 2418, -53.9939866208, 54.1517001324
1867, 2034, -5.6186855661, 5.6209465472
1866, 2440, 5.0409523714, -5.0396284239
2440, 2419, 30.1184520284, -30.0044630966
2420, 1866, 11.8339262782, -11.8299602156
2421, 5705, -3.7148619644, 3.7189137392
5705, 2419, 45.9992314582, -45.9657205687
2422, 2423, 10.8581629189, -10.8449225921
2423, 2424, 10.8449225921, -10.8437572551
2424, 2425, 10.8437572551, -10.8411062172
2425, 2032, 36.2301795549, -36.1718175525
2425, 2414, -25.3890733377, 25.3973435591
2426, 2362, 22.8937819726, -22.8412400000
2427, 6726, -17.5398986083, 17.5413438004
6726, 2428, 25.2398572526, -25.1705491122
2428, 2429, 25.1705491122, -25.1603679295
2429, 2430, 25.1603679295, -25.1537620843
2430, 2033, -9.3877574496, 9.3943153040
2031, 2431, 12.0944923504, -12.0651518541
2431, 2432, 12.0651518541, -12.0539384573
2432, 2033, 12.0539384573, -12.0280288778
1867, 2034, -6.2855050423, 6.2877411675
1867, 2433, -13.0439884556, 13.0570855722
2434, 2435, -11.8172072984, 11.8197509625
2433, 2438, -13.0570855722, 13.0588192797
2438, 2436, -1.2443613038, 1.2450158943
2437, 2438, 11.8167210623, -11.8144579759
2434, 2437, 11.8172072984, -11.8167210623
2435, 2439, -11.8197509625, 11.8205278854
2440, 2420, -25.0788236045, 25.0919949892
2420, 2441, -36.9259212673, 36.9681431156
2035, 2421, 15.5297354704, -15.5216232114
2441, 2442, -36.9681431156, 36.9712240291
2442, 2443, -36.9712240291, 36.9836266729
2443, 2444, -36.9836266729, 36.9867378299
2444, 2445, -36.9867378299, 37.0171546970
2445, 2446, -37.0171546970, 37.0594945906
2446, 2034, -36.2432157744, 36.2467850646
2446, 2034, -34.5959870152, 34.5993940835
2447, 8021, -150.6906730934, 150.7938684613
2418, 8021, -54.1517001324, 54.1804662907
2416, 8021, -38.6221644991, 38.6335107810
2363, 2364, -7.8845987686, 7.8966694082
2363, 2448, -9.9108412314, 9.9271310977
2364, 2448, -24.9016394082, 24.9096041737
2448, 2449, -23.4442055801, 23.4580720727
2450, 6732, -5.7483472254, 5.7491983180
6732, 5715, -28.9501431895, 28.9579741476
2451, 6731, -2.5596845412, 2.5599946745
6731, 2452, -12.9003106222, 12.9143370300
2449, 2451, -23.4580720727, 23.4612711290
2451, 2452, -20.9015865878, 20.9275844407
2450, 2452, 33.8462469984, -33.8419214706
2453, 2450, 28.2270518689, -28.0978997731
2454, 2453, 52.5249342218, -52.4936561811
2454, 2455, 34.7438689035, -34.7151912387
2454, 2365, -153.0261104415, 153.2636803178
2455, 2456, -47.1917275702, 47.4332442851
2456, 8021, -47.4332442851, 47.5434806466
2448, 2457, -11.3925296913, 11.4078476093
2457, 6733, -11.4078476093, 11.4113846450
6733, 2458, 11.7836029195, -11.7773148712
2439, 1868, -11.8205278854, 11.8215661297
5699, 2032, 12.7427332336, -12.7247402969
2459, 780, 677.0779174315, -661.7456633360
8185, 2459, 701.2143239610, -696.8818981279
8204, 8522, -9.9023992785, 9.9410186971
2385, 2460, -2.7023300000, 2.7026920817
2465, 2461, 2.9545996356, -2.9535620663
6742, 2465, 10.9531455687, -10.8494035049
2461, 2387, 2.6391395667, -2.6391200000
2460, 6742, -8.0848276023, 8.1460658371
2460, 2462, 5.3821355206, -5.3750982083
2462, 2386, 2.0233968512, -2.0226480000
2461, 2463, 0.3144224996, -0.3143542750
2463, 2462, -3.3510625702, 3.3517013571
2463, 2464, 3.6654168452, -3.6585893125
2475, 2469, 1.9289004504, -1.9257240829
2471, 2394, 4.5794416800, -4.5793120000
2471, 2470, -1.6493628849, 1.6495498065
2469, 2470, 4.8078379507, -4.8058880233
2464, 2475, 3.8072329335, -3.8042970920
2464, 2391, -0.1486436211, 0.1488007039
2465, 2466, 7.8948038693, -7.8856393857
2466, 2388, 3.6450439289, -3.6447670000
2466, 2467, 4.2405954569, -4.2354240735
2467, 2391, 0.1489841124, -0.1488007039
2467, 2468, 4.0864399612, -4.0832839810
2468, 2392, 1.1981179755, -1.1981090000
2468, 2469, 2.8851660055, -2.8821138678
2470, 2393, 1.4589164616, -1.4587470000
2397, 2477, -0.5728956000, 0.5728991029
2477, 2396, -3.6796687135, 3.6815557490
2396, 2472, 4.5368792462, -4.5107227912
2472, 2395, 1.0998004138, -1.0997930000
2471, 2470, -1.6972405902, 1.6974217552
2472, 2474, 3.4109223774, -3.4094592071
2474, 2473, 2.1720693948, -2.1666960662
2474, 2471, 1.2373898123, -1.2328382048
2475, 2473, 1.8753966417, -1.8718724363
2476, 2390, 2.5612432419, -2.5609640000
2473, 2476, 4.0385685025, -4.0365351615
2476, 2389, 1.4752919196, -1.4751320000
2477, 2272, 3.1067696106, -3.1033869597
8619, 2330, -0.0094036361, 0.0094036643
2330, 8563, -0.0094036643, 0.0094042176
2478, 1446, -89.7377162312, 91.6141357645
2479, 1446, -9.6785040000, 9.6791658403
2480, 1446, -3.2404900000, 3.2406627399
2481, 2487, -11.7083800000, 11.8239376980
2487, 2486, -3.5610942518, 3.5610942518
2486, 2482, 4.8432164887, -4.8398480000
8444, 2478, -87.1961321907, 89.7377162312
8444, 2483, 13.3337544657, -13.2790000000
2484, 2489, -4.4582290000, 4.4612936756
2489, 8336, -12.5326127560, 12.6791417777
1446, 2485, 3.7033431465, -3.7029750000
8000, 2486, 8.4049131110, -8.4043107405
8000, 2487, 8.2635843750, -8.2628434462
2488, 2489, -8.0707850000, 8.0713190804
