--ramp rate info
Generator, Unit, ramp rate bound
745, '1', 0.5489451115
1804, '1', 3.6904063677
1804, '2', 2.6461912023
1964, '1', 0.0315041070
1964, '2', 0.0321261865
1964, '3', 0.0565248788
1360, '1', 0.0131899284
1360, '2', 0.0193795313
1745, '1', 0.0367772685
744, '1', 0.0513535310
1587, '1', 0.0436233708
8022, '1', 6.5705182667
2220, '1', 1.1647059148
2220, '2', 1.6654515972
1748, '1', 1.0560176543
8542, '1', 0.6704025637
8542, '2', 0.7377403729
8542, '3', 0.9442177384
8542, '4', 2.2398062955
8542, '5', 3.0779974289
1743, '1', 0.4797594904
1735, '1', 0.0337056032
1735, '2', 0.0329794051
8578, '1', 0.7081700548
8578, '2', 0.5288547628
8578, '3', 0.3201479582
8578, '4', 0.4581781164
744, '2', 0.7110280629
106, '1', 0.5704042083
106, '2', 0.5846343175
7778, '1', 0.8474038411
7778, '2', 1.6131111590
7778, '3', 1.9202892737
1634, '1', 2.7111454764
1634, '2', 1.4474780911
749, '1', 0.7224074239
339, '1', 0.0774513787
339, '2', 0.0907393064
1286, '1', 0.3248847460
8427, '1', 0.5745437198
170, '1', 0.3813888731
170, '2', 0.5335611653
170, '3', 0.6447675491
170, '4', 0.6022833920
170, '5', 0.4218641087
170, '6', 0.4689810951
170, '7', 0.8574452251
170, '8', 0.9287050469
170, '9', 0.7485541614
170, '10', 0.5747716922
1746, '1', 0.2239495583
1728, '1', 4.1095250527
1728, '2', 3.4048441389
1643, '1', 0.2265489127
1643, '2', 0.5545169774
1734, '1', 0.0376738762
615, '1', 0.1214874036
7971, '1', 11.9171090167
7971, '2', 7.5085177537
7971, '3', 7.6921739594
7971, '4', 7.7252406069
7971, '5', 6.9579792430
7971, '6', 6.6618348202
60, '1', 0.1131390270
1448, '1', 0.0443146585
8553, '1', 0.9936883339
8553, '2', 1.4566595044
1727, '1', 2.6165214788
1727, '2', 1.1977215465
1730, '1', 1.6012299307
1730, '2', 1.4788865300
1730, '3', 1.6774725991
1730, '4', 1.6720345904
1729, '1', 1.6888276266
1729, '2', 1.5405537634
1501, '1', 0.0891320838
1501, '2', 0.0589007883
1501, '3', 0.1682942088
2220, '3', 2.7988471992
2220, '4', 3.6177433304
32, '1', 0.4287307483
32, '2', 1.6908471156
1745, '2', 0.2074412010
746, '1', 0.2511403642
746, '2', 0.2081245362
746, '3', 0.3475101531
1502, '1', 0.3386016109
1890, '1', 1.8506125146
8623, '1', 0.8469895065
8623, '2', 1.3026213956
1892, '1', 0.1323333480
1892, '2', 0.1193125166
1745, '3', 0.2516697619
1958, '1', 0.6316230717
1755, '1', 0.3162185181
1755, '2', 0.1007370515
