--contingency
label
'Monument_wildfire_data_SD_2'
--bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
1, 0.99939668360092870358, -87.33365657575524210188, 0.00000000000000000000
2, 1.00433846934208936830, -72.48807029745999841452, 0.00000000000000000000
3, 1.00107853295138227168, -75.23044775525146121709, 0.00000000000000000000
4, 1.00142309395319606402, -77.29538139695760889936, 0.00000000000000000000
5, 0.99978362825826794236, -87.37128378293698460766, 0.00000000000000000000
6, 1.00848792323166813745, -183.07301983154025037948, 0.00000000000000000000
7, 0.99783769264808708233, -85.11036020308105776166, 0.00000000000000000000
8, 0.99949832883698797037, -86.96324832016654227118, 0.00000000000000000000
9, 1.00061448047717460597, -82.22481058978817713978, 0.00000000000000000000
10, 1.00280105039226841157, -85.63558839658821852936, 0.00000000000000000000
11, 1.00285686808749185950, -80.25830846388599582042, 0.00000000000000000000
12, 0.99852128503014114802, -81.30712920914450592136, 0.00000000000000000000
13, 0.99985414146813800240, -87.35608237310511015039, 0.00000000000000000000
14, 1.00037088247404959418, -83.65016085170746862332, 0.00000000000000000000
15, 1.00149297004885906581, -79.76833375941644987961, 0.00000000000000000000
16, 0.99695039613718239302, -83.80727502459352251662, 0.00000000000000000000
17, 0.99921451600408761617, -82.40964099138282961121, 0.00000000000000000000
18, 1.00156755890412818566, -66.68849466154240701599, 0.00000000000000000000
19, 0.99849798680640222681, -85.32704236347656490125, 0.00000000000000000000
20, 0.99931073440231454885, -87.36022666472101150248, 0.00000000000000000000
21, 1.00730989460728537210, -78.87989626301057910496, 0.00000000000000000000
22, 0.99633994450913021534, -80.42753598292269145986, 0.00000000000000000000
23, 0.99893678337446067950, -76.49418331917271984821, 0.00000000000000000000
24, 0.99838851687648055844, -82.09238327305440918735, 0.00000000000000000000
25, 0.99782396549671759090, -76.79838072884392374817, 0.00000000000000000000
26, 0.99824868454283854913, -74.14201422666087637481, 0.00000000000000000000
27, 0.98679444456233600391, -74.94966107707288927031, 0.00000000000000000000
28, 1.00733290449063428440, -73.18146365948943810054, 0.00000000000000000000
29, 0.99951523835938405060, -74.93693402972100159332, 0.00000000000000000000
30, 0.99767983539796845083, -75.39588031325267536431, 0.00000000000000000000
31, 1.00188170395156816994, -79.77512369048663742888, 0.00000000000000000000
32, 1.00218172317639608870, -68.42247946409105452403, 0.00000000000000000000
33, 0.99705256584002721620, -71.10635743077988024652, 0.00000000000000000000
34, 1.00736107990677314916, -70.97838236075362772226, 0.00000000000000000000
35, 1.00749659002370783867, -61.25736964527299477368, 0.00000000000000000000
36, 1.00166007111222232773, -84.16101512371257342693, 0.00000000000000000000
37, 1.00762492356124888637, -61.19888037372562905603, 0.00000000000000000000
38, 0.99784076610280703079, -84.52441302228714903322, 0.00000000000000000000
39, 1.00013874988064088711, -17.76340316909625016706, 0.00000000000000000000
40, 0.98873495226686658466, -71.65452989113242665553, 0.00000000000000000000
41, 1.00299681209364366374, -56.89093300767914485050, 0.00000000000000000000
42, 0.97689847770271476257, -88.43278997012789943710, 0.00000000000000000000
43, 1.00044196637551752183, -70.46609849839408923344, 0.00000000000000000000
44, 1.00006376545890240948, -70.07214062233613560693, 0.00000000000000000000
45, 1.00208622671400360282, -12.42851406168118622020, 0.00000000000000000000
46, 1.00749767582145888234, -67.18357162855761544051, 0.00000000000000000000
