--bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
1, 1.04481356191337915185, -78.87066111074626917343, 0.00000000000000000000
2, 1.05956928674869499396, -65.56487123287210749822, 0.00000000000000000000
3, 1.05917876218388595788, -68.05279296792853926945, 0.00000000000000000000
4, 1.05967610007976476005, -69.88507372069204848231, 0.00000000000000000000
5, 1.04323115049441073054, -78.85205232003680464459, 0.00000000000000000000
6, 0.98880318930017452317, -161.26373391959236869297, 0.00000000000000000000
7, 1.04939420376222236619, -76.85080146633241326981, 0.00000000000000000000
8, 1.04561163328104389514, -78.53036105672751432394, 0.00000000000000000000
9, 1.05075984017481882660, -74.20735343711466214245, 0.00000000000000000000
10, 1.05084334297741510689, -77.33114796805828916604, 0.00000000000000000000
11, 1.05962103179324196311, -72.56087634009249143219, 0.00000000000000000000
12, 1.04973049761120496015, -73.41114646546151334405, 0.00000000000000000000
13, 1.04327606474381773261, -78.83787373801003184326, 0.00000000000000000000
14, 1.04581505869808721876, -75.47181187524141421363, 0.00000000000000000000
15, 1.05503500976512309961, -72.05726726693349348807, 0.00000000000000000000
16, 1.04333793982428302272, -75.62725556202123300409, 0.00000000000000000000
17, 1.04772763071722585515, -74.37562129578986969136, 0.00000000000000000000
18, 1.05999089827773418371, -60.41526773077170986426, 0.00000000000000000000
19, 1.04750466579861645222, -77.05474154524829089041, 0.00000000000000000000
20, 1.04474702132602126348, -78.89107913548531314518, 0.00000000000000000000
21, 1.05996975864906084475, -71.23915244614035202630, 0.00000000000000000000
22, 1.04737693814804377901, -72.63398391822866528855, 0.00000000000000000000
23, 1.05603011368511401358, -69.15925244607359445581, 0.00000000000000000000
24, 1.04774743259787572747, -74.09529742816472719369, 0.00000000000000000000
25, 1.04058109562393452663, -69.31255345128236911023, 0.00000000000000000000
26, 1.04610108823466108063, -67.03663976797371049088, 0.00000000000000000000
27, 1.03513326148963957785, -67.76771896163783992506, 0.00000000000000000000
28, 1.05518827853550489770, -66.18364122764727142112, 0.00000000000000000000
29, 1.04670704064791730836, -67.72027700600868627134, 0.00000000000000000000
30, 1.04394637293546876933, -68.11288772637992394721, 0.00000000000000000000
31, 1.03613260093741810230, -71.88407631257862817620, 0.00000000000000000000
32, 1.05999918596600606335, -61.96881654681598661227, 0.00000000000000000000
33, 1.05100132406197044332, -64.37633679309314516104, 0.00000000000000000000
34, 1.05926803173329320273, -64.14086496664232583953, 0.00000000000000000000
35, 1.05755699275303549634, -56.15589426735830613779, 0.00000000000000000000
36, 1.03057108192107138578, -76.41986030729844969756, 0.00000000000000000000
37, 1.05747673194086422299, -56.11681769958284604627, 0.00000000000000000000
38, 1.02594910836384189956, -76.73514219062778352054, 0.00000000000000000000
39, 1.04855294908028895406, -16.04523711503258098787, 0.00000000000000000000
40, 0.99763356368237932070, -65.26297991261472475344, 0.00000000000000000000
41, 1.05514588989899271709, -52.64919123530745537209, 0.00000000000000000000
42, 1.00627057190753488314, -80.42874257725597431090, 0.00000000000000000000
43, 1.05226034271820045873, -64.08914195301964866758, 0.00000000000000000000
44, 1.05253807391616227562, -63.74019730277898077020, 0.00000000000000000000
45, 1.05870751289864828415, -11.68308883398875330784, 0.00000000000000000000
46, 1.05999484540516508702, -61.15154757448775058037, 0.00000000000000000000
