--contingency
label
'Monument_wildfire_data_SD_2'
--bus section
i, v(p.u.), theta(deg), bcs(MVAR at v = 1 p.u.)
1, 0.99940194380021052378, -87.37363407330568065845, 0.00000000000000000000
2, 1.00434138920237581161, -72.52668278759435338543, 0.00000000000000000000
3, 1.00108082997811798087, -75.26871797998946078678, 0.00000000000000000000
4, 1.00142868634270909567, -77.33393722402317393971, 0.00000000000000000000
5, 0.99978881301341504528, -87.40564881232691618607, 0.00000000000000000000
6, 1.00848623717919938514, -183.12876718552811894369, 0.00000000000000000000
7, 0.99783936252609917172, -85.14618667695303599885, 0.00000000000000000000
8, 0.99950314763019165731, -87.00301133426263788806, 0.00000000000000000000
9, 1.00061890190929214661, -82.25921949648883924056, 0.00000000000000000000
10, 1.00280335839589906932, -85.67396466669316623666, 0.00000000000000000000
11, 1.00286135756673377983, -80.30131017636131218751, 0.00000000000000000000
12, 0.99852348382911970681, -81.34454149810558476474, 0.00000000000000000000
13, 0.99985932452901304934, -87.39044754687934357662, 0.00000000000000000000
14, 1.00037406780187598798, -83.68841127934960866241, 0.00000000000000000000
15, 1.00149503902698455704, -79.80587369320434731890, 0.00000000000000000000
16, 0.99695475715637238423, -83.84546283378290354449, 0.00000000000000000000
17, 0.99921826446046912995, -82.44735724962407630301, 0.00000000000000000000
18, 1.00157059753672550428, -66.72794736154123995675, 0.00000000000000000000
19, 0.99850457970002270969, -85.36743838213405410897, 0.00000000000000000000
20, 0.99931583010576796600, -87.40008079993501155514, 0.00000000000000000000
21, 1.00731321705639675912, -78.91267123887601542265, 0.00000000000000000000
22, 0.99633930143862903250, -80.46071712995791358480, 0.00000000000000000000
23, 0.99893977683330892336, -76.53225265592848813867, 0.00000000000000000000
24, 0.99839177399579115413, -82.13004005043215727255, 0.00000000000000000000
25, 0.99782396269718087733, -76.83417538107747191134, 0.00000000000000000000
26, 0.99825071035729906477, -74.17801732512837986633, 0.00000000000000000000
27, 0.98679644523952836366, -74.98564410054311224485, 0.00000000000000000000
28, 1.00733526986947774517, -73.21752976096414045060, 0.00000000000000000000
29, 0.99951693657898965650, -74.97276950552604546374, 0.00000000000000000000
30, 0.99768114852522660208, -75.43170535334554926976, 0.00000000000000000000
31, 1.00187863906853502627, -79.81086583418247926147, 0.00000000000000000000
32, 1.00218680256544123708, -68.45299053662826338496, 0.00000000000000000000
33, 0.99705301692657755108, -71.14155579063408652019, 0.00000000000000000000
34, 1.00736344556856916022, -71.00749790020398677370, 0.00000000000000000000
35, 1.00750962594128568028, -61.32005524312791067132, 0.00000000000000000000
36, 1.00166651689603991571, -84.25501047064406634490, 0.00000000000000000000
37, 1.00764006145846707341, -61.26106377819417758701, 0.00000000000000000000
38, 0.99784637817554389105, -84.61837821488114741442, 0.00000000000000000000
39, 1.00015589438965557534, -17.76076318346439464335, 0.00000000000000000000
40, 0.98901098290244460198, -71.90097674278403871995, 0.00000000000000000000
41, 1.00298698715460288255, -56.93992050325645948305, 0.00000000000000000000
42, 0.97690434933161451880, -88.52671036595802434022, 0.00000000000000000000
43, 1.00044376689086278454, -70.54116175292470813929, 0.00000000000000000000
44, 1.00006513273132702224, -70.14720085639973490288, 0.00000000000000000000
45, 1.00208562718168026073, -12.39489476813196233707, 0.00000000000000000000
46, 1.00749724606198376442, -67.25861317937990691007, 0.00000000000000000000
47, 0.99450184479144565497, -72.57864574991320694153, 0.00000000000000000000
48, 0.99372393992486163228, -70.41458224603222504356, 0.00000000000000000000
49, 1.00683250837245941156, -61.66226726280334702324, 0.00000000000000000000
50, 0.98908116701160442297, -64.26468680264936494950, 0.00000000000000000000
51, 1.00257820871477831837, -84.38838832664060873867, 0.00000000000000000000
52, 0.99328430752893381861, -70.44753531109515165554, 0.00000000000000000000
53, 0.97938652045407204039, -88.19619978436429619251, 0.00000000000000000000
54, 1.00080287559215053150, -65.87892409059611509292, 0.00000000000000000000
55, 1.00204064915669022184, -72.00614889899020454322, 0.00000000000000000000
56, 0.99977728100991158922, -61.71490788498541490981, 0.00000000000000000000
57, 0.99097144390338209874, -74.67118997830920079650, 0.00000000000000000000
58, 1.00063664546722352888, -62.68388083528076037965, 0.00000000000000000000
59, 1.00122283425533220580, -65.65389759376606093610, 0.00000000000000000000
60, 1.00220994867940538242, -62.59300135263467268487, 0.00000000000000000000
61, 1.00727867645987578804, -71.91551605277500414104, 0.00000000000000000000
62, 1.00572101138558744893, -91.72416619876057097827, 0.00000000000000000000
63, 1.01506079374052848863, -86.49481411296714838954, 0.00000000000000000000
64, 1.00608308428683757008, -92.85506288240114258770, 0.00000000000000000000
65, 1.00967653183607741774, -92.87109376286601047923, 0.00000000000000000000
66, 1.00022413824304479135, -84.57655062650322008722, 0.00000000000000000000
67, 0.99163470250345264745, -82.13935220762640199155, 0.00000000000000000000
68, 1.00125420142009380342, -87.88343075934899673030, 0.00000000000000000000
69, 1.00204358412161242953, -77.34308566231000270363, 0.00000000000000000000
70, 1.00349788340838275147, -71.45692458040824135423, 0.00000000000000000000
71, 0.99866229802240558122, -75.03187204439147706125, 0.00000000000000000000
72, 1.00147616798736915911, -72.03462948869162119081, 0.00000000000000000000
73, 0.99839625088221573002, -75.03702397959878567235, 0.00000000000000000000
74, 1.00413944418515965751, -77.06917019357901210697, 0.00000000000000000000
75, 1.00206842670922968708, -76.92699489669733736719, 0.00000000000000000000
76, 1.00099990618521172969, -83.08103583388394497433, 0.00000000000000000000
77, 1.00011716776778047944, -87.84055852223185922867, 0.00000000000000000000
78, 1.00070404771438425939, -71.83031904944050438644, 0.00000000000000000000
79, 0.99771517370670315117, -72.77674286956514038138, 0.00000000000000000000
80, 1.00184316770488379689, -76.76902007943350270125, 0.00000000000000000000
81, 0.98136318861533755609, -73.05039634424980476979, 0.00000000000000000000
82, 0.99809253400398056932, -79.21572079048888781472, 0.00000000000000000000
83, 0.99912010683265084499, -73.82817303221271743041, 0.00000000000000000000
84, 0.99645604738957160862, -75.76597586986687815624, 0.00000000000000000000
85, 1.00415583500880511991, -77.02807424194513430393, 0.00000000000000000000
86, 1.00126904901747670884, -80.86216784464646423203, 0.00000000000000000000
87, 1.00297593485914693368, -73.67580773203458477383, 0.00000000000000000000
88, 0.99861883282381269655, -83.11144545677473161049, 0.00000000000000000000
89, 1.00354230055174964420, -71.45576803394061471408, 0.00000000000000000000
90, 1.00234592286239698744, -76.82025338760205102062, 0.00000000000000000000
91, 0.99026611641985251566, -72.92107112774426980195, 0.00000000000000000000
92, 0.99639320245625573325, -81.56102801949784009139, 0.00000000000000000000
93, 0.99761591415604178312, -81.87984525483722109129, 0.00000000000000000000
94, 0.99780202267735507160, -84.09832673933723867776, 0.00000000000000000000
95, 1.00167787178428446815, -76.40652180686396377496, 0.00000000000000000000
96, 0.99865330515337957795, -85.29375988201815061984, 0.00000000000000000000
97, 0.99973449915141210376, -80.24783139835572853826, 0.00000000000000000000
98, 0.98838295699468237121, -66.00712425399336780174, 0.00000000000000000000
