--contingency
--label
'Monument_wildfire_data_SD_2'
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
1, 0.0000000000, -0.5663055000, 0.0000000000, 0.9994019438, -0.0000000000, -0.5663055000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
2, NaN, -0.1219259000, 0.0000000000, 1.0043413892, -0.0000000000, -0.1219259000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
3, NaN, -0.0000000000, 0.0000000000, 1.0010808300, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
4, 0.0000000000, -0.2279708000, 0.0000000000, 1.0014286863, -0.0000000000, -0.2279708000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
5, 0.0000000000, -1.1597270000, 0.0000000000, 0.9997888130, -0.0000000000, -1.1597270000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
6, 0.0481649291, -0.0000000000, 0.0000000000, 1.0084862372, -0.0000000000, 0.0481649291, NaN, -0.0000000090, -0.0000000090, 0.0000000000
7, 0.0000000000, -1.3011950000, 0.0000000000, 0.9978393625, -0.0000000000, -1.3011950000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
8, 0.0000000000, -0.6576244000, 0.0000000000, 0.9995031476, -0.0000000000, -0.6576244000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
9, NaN, -0.0812221300, 0.0000000000, 1.0006189019, -0.0000000000, -0.0812221300, NaN, -0.0000000090, -0.0000000090, 0.0000000000
10, 0.0000000000, -0.2492802000, 0.0000000000, 1.0028033584, -0.0000000000, -0.2492802000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
11, NaN, -0.0628923400, 0.0000000000, 1.0028613576, -0.0000000000, -0.0628923400, NaN, -0.0000000090, -0.0000000090, 0.0000000000
12, NaN, -0.0586119000, 0.0000000000, 0.9985234838, -0.0000000000, -0.0586119000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
13, 0.0000000000, -0.3512038000, 0.0000000000, 0.9998593245, -0.0000000000, -0.3512038000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
14, 0.0000000000, -0.3852843000, 0.0000000000, 1.0003740678, -0.0000000000, -0.3852843000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
15, 0.0000000000, -0.2496815000, 0.0000000000, 1.0014950390, -0.0000000000, -0.2496815000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
