--base
--line section
From, To, p_from(MW), p_to(MW)
1, 2410, -56.6305499922, 56.6319526398
2410, 20, 6.9105490075, -6.9101476228
2410, 2411, -63.5425016395, 63.6734621359
2411, 1618, 40.6033126589, -40.6009699922
2411, 1617, -104.2767747870, 104.3410682697
1617, 2412, -72.7042414349, 72.7546524478
2359, 2360, 4.6892051402, -4.6373699923
2031, 2426, -30.6339871757, 30.6484406987
6724, 5593, -92.9376250810, 92.9734481049
5593, 2413, -67.6550981047, 67.8314719450
2426, 6724, -53.5353279127, 53.5664390901
2414, 8021, -26.1881019731, 26.2256252485
2415, 2446, -110.7754000154, 111.0738493968
2034, 2417, -108.4649173246, 108.4837503938
2436, 2416, -55.9450224549, 56.0955864896
2417, 2436, -54.5553809490, 54.5637159421
2417, 2418, -53.9283694372, 54.0675772569
1867, 2034, -5.5614808494, 5.5634367723
1866, 2440, 5.2290150384, -5.2278798925
2440, 2419, 30.2568804788, -30.1633486666
2420, 1866, 12.0503054414, -12.0465992559
2421, 5705, -3.7351683850, 3.7388739538
5705, 2419, 45.3852517909, -45.3562698340
2422, 2423, 10.0129188320, -10.0016605012
2423, 2424, 10.0016605088, -10.0006711914
2424, 2425, 10.0006711990, -9.9984222162
2425, 2032, 36.1786215691, -36.1265559552
2425, 2414, -26.1801993453, 26.1881019806
2426, 2362, 22.8868872216, -22.8412399923
2427, 6726, -18.0467594871, 18.0480377223
6726, 2428, 24.8137471507, -24.7566894864
2428, 2429, 24.7566894941, -24.7483063084
2429, 2430, 24.7483063160, -24.7428668419
2430, 2033, -10.2306778987, 10.2356434768
2031, 2431, 11.7109207637, -11.6869924492
2431, 2432, 11.6869924568, -11.6778501304
2432, 2033, 11.6778501381, -11.6567300611
1867, 2034, -6.3013629166, 6.3032973372
1867, 2433, -13.1174879136, 13.1287286754
2434, 2435, -11.7524369870, 11.7546629732
2433, 2438, -13.1287286679, 13.1302158362
2438, 2436, -1.3801856219, 1.3813065203
2437, 2438, 11.7520114072, -11.7500302068
2434, 2437, 11.7524369946, -11.7520113996
2435, 2439, -11.7546629657, 11.7553427221
2440, 2420, -25.0290005786, 25.0398445418
2420, 2441, -37.0901499756, 37.1259375847
2035, 2421, 15.8840259248, -15.8762932539
2441, 2442, -37.1259375771, 37.1285488673
2442, 2443, -37.1285488597, 37.1390607299
2443, 2444, -37.1390607224, 37.1416975253
2444, 2445, -37.1416975178, 37.1674758171
2445, 2446, -37.1674758095, 37.2033522868
2446, 2034, -36.1666004494, 36.1697055525
2446, 2034, -34.5228536919, 34.5258176701
2447, 8021, -151.6945563129, 151.7874329525
2418, 8021, -54.0675772494, 54.0929654067
2416, 8021, -38.5109680367, 38.5209803911
2363, 2364, -7.9026040550, 7.9133110144
2363, 2448, -9.8928359373, 9.9077282698
2364, 2448, -24.9182810068, 24.9235704899
2448, 2449, -23.5886181881, 23.5992069027
2450, 6732, -6.1685116354, 6.1692095900
6732, 5715, -29.5755572370, 29.5822430970
2451, 6731, -2.5166177366, 2.5167258299
6731, 2452, -12.8544974070, 12.8668298861
2449, 2451, -23.5992068951, 23.6016495535
2451, 2452, -21.0850318093, 21.1075312272
2450, 2452, 33.9781278210, -33.9743611057
2453, 2450, 27.9217036332, -27.8096161779
2454, 2453, 52.3629389171, -52.3356479446
2454, 2455, 34.4905759322, -34.4683381508
2454, 2365, -152.2622442048, 152.4728527498
2455, 2456, -48.3796543908, 48.5866426846
2456, 8021, -48.5866426771, 48.6810823230
2448, 2457, -11.2426805641, 11.2555350750
2457, 6733, -11.2555350674, 11.2584968742
6733, 2458, 12.1426882577, -12.1368091335
2439, 1868, -11.7553427146, 11.7562510191
5699, 2032, 12.7385250486, -12.7237695874
2459, 780, 682.4690396339, -668.9059245028
8185, 2459, 706.2065338245, -702.2725712412
8204, 8522, -12.8588683133, 12.8818569362
2385, 2460, -2.7023299927, 2.7026697620
2465, 2461, 2.9684972427, -2.9675065828
6742, 2465, 10.9490227195, -10.8609551841
2461, 2387, 2.6391383606, -2.6391199927
2460, 6742, -7.9723756877, 8.0254988957
2460, 2462, 5.2697059331, -5.2642978008
2462, 2386, 2.0233507233, -2.0226479926
2461, 2463, 0.3283682295, -0.3283270914
2463, 2462, -3.2405496499, 3.2409470848
2463, 2464, 3.5688767486, -3.5646853937
2475, 2469, 1.8802809943, -1.8783043449
2471, 2394, 4.5794339817, -4.5793119926
2471, 2470, -1.5503244214, 1.5504265590
2469, 2470, 4.5897409311, -4.5885887264
2464, 2475, 3.8880354049, -3.8862852791
2464, 2391, -0.3233500038, 0.3234413282
2465, 2466, 7.8924579488, -7.8851672441
2466, 2388, 3.6450270212, -3.6447669926
2466, 2467, 4.2401402303, -4.2368986416
2467, 2391, 0.3235481950, -0.3234413208
2467, 2468, 3.9133504539, -3.9112989731
2468, 2392, 1.1981174307, -1.1981089926
2468, 2469, 2.7131815497, -2.7114365788
2470, 2393, 1.4589063708, -1.4587469926
2397, 2477, -0.5728955926, 0.5728988933
2477, 2396, -3.7914953940, 3.7936201372
2396, 2472, 4.6063563629, -4.5907562230
2472, 2395, 1.0997999723, -1.0997929926
2471, 2470, -1.5791568119, 1.5792558040
2472, 2474, 3.4909562581, -3.4901173518
2474, 2473, 2.0375657503, -2.0344250520
2474, 2471, 1.4525516089, -1.4499527410
2475, 2473, 2.0060042922, -2.0039966279
2476, 2390, 2.5612267003, -2.5609639926
2473, 2476, 4.0384216872, -4.0365091224
2476, 2389, 1.4752824294, -1.4751319926
2477, 2272, 3.2185965081, -3.2142536062
8619, 2330, 0.0197427908, -0.0197427538
2330, 8563, 0.0197427611, -0.0197419024
2478, 1446, -88.1752168228, 89.6968473245
2479, 1446, -9.6785039934, 9.6790961260
2480, 1446, -3.2404899934, 3.2406444892
2481, 2487, -11.7083799924, 11.8107744489
2487, 2486, -3.5626852214, 3.5626852214
2486, 2482, 4.8428443276, -4.8398479925
8444, 2478, -86.0894737698, 88.1752168296
8444, 2483, 13.3301329478, -13.2789999928
2484, 2489, -4.4582289923, 4.4609814333
2489, 8336, -12.5322479483, 12.6637991947
1446, 2485, 3.7033040067, -3.7029749934
8000, 2486, 8.4060638497, -8.4055295416
8000, 2487, 8.2487464308, -8.2480892201
2488, 2489, -8.0707849923, 8.0712665227
8234, 8486, -340.9313350325, 347.5684429860
778, 2528, -5.4240939934, 5.4241032635
2618, 775, -96.7090810459, 96.7105480014
2534, 2500, -145.5852104628, 145.8879832160
2528, 2534, -82.2921072035, 82.6923994473
2500, 2618, -151.0971993420, 152.7240699361
8328, 2622, -43.5452526577, 43.6059015158
2622, 8486, 11.3192111776, -11.3191812896
7753, 2498, -39.1309907434, 39.2996096540
2498, 1718, -50.3094855442, 50.6441002593
203, 2538, 117.4746832476, -117.4387935634
2546, 2490, -89.2369074576, 89.6178437076
2538, 2546, 60.3611701379, -60.2282629623
2491, 2575, 61.3433311897, -61.1638206738
2575, 8306, 63.3175233856, -62.5289451941
2542, 2492, 83.5178011301, -83.3758001727
8306, 2542, 94.1491704519, -94.1183665432
2491, 8329, -43.5296449277, 43.5319209765
8235, 198, -79.2572839889, 81.9432591022
7753, 7611, 15.5227225181, -15.5218668973
7611, 2619, 8.2858572232, -8.2440767991
2619, 8235, -3.3775105803, 3.3780433272
200, 8141, 2.5858401784, -2.5781275317
8487, 2611, -100.4527926486, 101.4943074333
2611, 2493, 29.9895912711, -29.8774221686
2494, 198, -95.9817537313, 96.9271611107
2494, 7753, 95.9817537377, -93.6612244112
198, 8768, -138.0103708836, 146.8057206614
205, 2506, 17.8589714082, -17.8271199421
2506, 1043, 74.2402370887, -73.2132142294
2495, 2496, 7.0585743090, -7.0570029932
1718, 1528, 24.4035053081, -24.1487553328
7765, 2408, 5.9589424153, -5.9551639932
7765, 2497, -57.1205741151, 57.1709051668
2497, 2498, -10.9141625082, 11.0098758968
196, 2497, 46.2654351413, -46.2567426518
2499, 2617, -49.4416376410, 49.4912159185
2617, 8305, 32.0020495306, -31.7071322614
7764, 195, -5.6590715814, 5.6999161565
2500, 2501, 5.2092161325, -5.2091719935
777, 2523, -1.1076389933, 1.1078590036
2523, 2521, -45.6462147917, 45.7166564640
2521, 1872, -108.6962208603, 108.7005450478
8235, 774, 0.0000352679, 0.0000018003
196, 2502, 10.2541586616, -10.2529799932
1718, 2503, -19.1443884041, 19.1878459725
2503, 1719, -9.1998425681, 9.1998783729
2503, 194, -9.9880033978, 9.9998561400
1872, 2504, -51.8456482851, 51.9006248256
2504, 8235, -36.0244019902, 36.0412596405
2504, 8235, -15.8762228287, 15.8900550502
8234, 2505, 364.8692566591, -363.8570907544
202, 182, -8.0636734975, 8.0711332406
182, 2506, 56.5749428874, -56.4131171400
2507, 1869, -57.5394306648, 57.5825467127
771, 5545, -1.2913662898, 1.2913675221
5545, 5543, 3.6424919190, -3.6423371609
5543, 5527, -25.4227805629, 25.4303040398
5527, 2507, -51.1337428714, 51.2419814523
2507, 1525, 6.2974492192, -6.2974319933
1869, 2508, -69.4109267060, 69.5376239099
2508, 2509, 3.0822422478, -3.0819179746
2509, 2028, 9.6986417950, -9.6986029933
2509, 2526, -6.6167238137, 6.6172293428
2526, 2511, 8.5625064903, -8.5613960113
2511, 2510, 6.0272123966, -6.0270999933
2511, 2519, 2.5341836214, -2.5340606668
2519, 2512, 4.3061390640, -4.3059559933
2513, 1872, -3.7999759933, 3.8012501480
770, 2518, -4.7196669933, 4.7197271545
2518, 2515, -6.4918895562, 6.4932446987
2515, 2514, 2.5399539933, -2.5399539933
2515, 2516, -9.0331986853, 9.0341728577
2516, 2508, 21.6432572254, -21.6415411571
2508, 2517, -50.9783249939, 50.9914283238
2520, 1870, 8.7528048288, -8.7524569933
2517, 2520, -81.6736640282, 81.7429310741
2516, 2517, -30.6774300765, 30.6822357111
2518, 2519, 1.7721624084, -1.7720783905
2520, 2522, -90.4957358962, 90.5214593453
2522, 779, -46.0011632724, 46.0099789897
779, 2521, -62.8824088687, 62.9795644029
2522, 2523, -44.5202960662, 44.5383557948
1527, 6648, -14.8029199933, 14.8052127423
6648, 2524, -38.6315062699, 38.6749241543
2524, 1873, 11.0112572823, -11.0111399933
2524, 2525, -49.6861814299, 49.7761874223
2525, 772, 2.0269759775, -2.0269739933
2525, 2527, -51.8031633932, 51.8378511278
2527, 2526, 15.1876907816, -15.1797358264
2527, 1874, -67.0255419027, 67.2356033167
1872, 2531, -24.4214301971, 24.4376321965
2537, 2536, 5.0616417301, -5.0609476262
2536, 188, 9.8673091187, -9.8672329934
2535, 2532, -45.0697444198, 45.2120535100
2532, 2537, 8.4694387799, -8.4656507660
2531, 2535, 5.4553044668, -5.4549248920
2528, 2530, 76.8680039466, -76.7160946763
2530, 2529, 46.7906131437, -46.7583555942
2529, 1871, 3.1613771577, -3.1613689933
2529, 1872, 43.5969784432, -43.5861797319
2530, 2531, 29.9254815392, -29.8929366567
2532, 2533, -53.6814922833, 53.7382803768
2533, 2029, 9.0567729934, -9.0567729934
2533, 2534, -62.7950533637, 62.8928110220
2535, 1874, 50.5246693184, -50.4452391612
202, 2616, 8.0636735041, -8.0628110525
2616, 2536, 4.8075283272, -4.8063614859
776, 2537, -3.4038229934, 3.4040090426
1523, 2594, -11.8440899933, 11.8447900017
2594, 8142, -82.7545991979, 83.1181344736
8142, 203, 118.1807412631, -117.4746832408
2538, 2539, 57.0776234323, -56.9842835995
2539, 197, 5.4468909515, -5.4468699932
2539, 2545, 51.5373926549, -51.5133543689
2545, 8218, 200.9376103268, -200.7856361104
204, 2550, 137.9546984283, -136.9187837437
2550, 2540, 35.7110845752, -35.4504534974
2540, 2041, 19.1955459420, -19.1919812052
2540, 2569, 16.2549075621, -16.2442411615
2569, 2548, 22.7550720735, -22.7525311329
2552, 8088, 31.3495911022, -31.3314591293
2549, 2552, 19.8694618350, -19.8477465089
2548, 2549, 12.1978558651, -12.1883517054
2541, 8089, -22.2793598063, 22.2847141676
8089, 2556, 0.9785712550, -0.9784383709
2556, 2492, -36.3587622063, 36.3631235544
2492, 7753, 47.0126766251, -46.9949284711
2542, 2543, 10.6005654199, -10.5949100071
8150, 8495, -35.4982620851, 35.4991795293
2560, 2544, -166.1394219405, 167.5647461623
2544, 8150, -166.0304746856, 166.4149698089
2543, 2560, 4.1256151872, -4.1249854455
2543, 2042, 6.4692948266, -6.4689489933
2544, 8472, -1.5342714700, 1.5343609708
8229, 8304, -2.6462240285, 2.6464086913
2545, 2546, -149.4242559511, 149.4651704267
2041, 2547, 5.0579146817, -5.0578183714
2571, 2562, -0.7330387910, 0.7332153756
2570, 2551, -5.4122090908, 5.4265847566
2563, 2572, -2.0811521742, 2.0814673423
2562, 2563, -5.5739487401, 5.5754413271
2551, 2571, 0.9985522831, -0.9983829560
2547, 2570, 7.7023926716, -7.6841680767
2041, 7752, 14.1340665302, -14.0874394433
